Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,SR5 Premium 4x2,Barcelona Red Metallic,43765,47884,0.0,0,43765,At dealer,False,DealerHold,2024-08-07,2024-08-08,JTEFU5JR1R5315331,Girard Toyota-BMW,CT,50 State Emissions | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Predator Tube Step[installed_msrp] | Premium Package | Third Row Seating - Softex | Wilderness Package[installed_msrp]
2023,SR5 Premium 4x2,Classic Silver Metallic,43215,45558,42634.0,0,43215,At dealer,False,Available,2023-09-23,2023-09-24,JTEFU5JR3P5297668,Bennett Toyota,PA,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Exhaust Tip - Chrome[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Preferred Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | SR5 Premium Package w/ Softex | Trail Running Boards[installed_msrp]
2024,Limited 4x4FT,Classic Silver Metallic,51975,55969,0.0,0,51975,At dealer,False,Available,2024-08-01,2024-08-01,JTEKU5JR2R6294661,Perry Motors Toyota,CA,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Automatic Running Boards | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Limited Grade | Roof Rack Cross Bars[installed_msrp] | Third Row Seating - Leather
2024,Limited 4x4FT,Barcelona Red Metallic,51725,56397,0.0,0,51725,At dealer,True,DealerHold,,2023-12-08T00:00:00.000Z,JTEKU5JR4R6223168,Street Toyota,TX,** Port Installed (CN) | ** Port Installed (First Aid Kit) | 50 State Emissions | Aluminum Running Boards | Cargo Cover | Center Console Safe | Connectivity Kit | Keep it Wild Savings | LED Bulb Upgrade | Limited Grade | Mud Guards | PDS - with Texas State Inspection | Premium Carpet Mat Set | Roof Rack Cross Bars | Stainless Steel Exhaust Tip | Third Row Seating - Leather | Vehicle Fueling | Vehicle Protection Package
2024,Limited 4x4FT,Midnight Black Metallic,51975,54253,54552.0,0,51975,At dealer,True,DealerHold,2024-06-11,2024-06-13,JTEKU5JR7R6280657,Luther Brookdale Toyota,MN,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Cargo Cover[installed_msrp] | Door Edge Guards[installed_msrp] | Exhaust Tip - Chrome[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Limited Grade | Mudguards[installed_msrp] | Preferred Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Roof Rack Cross Bars[installed_msrp] | Running Boards - Chrome Detail[installed_msrp]
2024,Limited 4x4FT,Nautical Blue Metallic,51975,56248,0.0,1485,53460,At dealer,False,Available,2024-12-03T00:00:00.000Z,2024-12-07T00:00:00.000Z,JTEKU5JR7R6303483,Toyota of Longview,TX,** Port Installed (CN) | ** Port Installed (First Aid Kit) | *Courtesy Delivery Vehicle* | 50 State Emissions | Aluminum Running Boards | Keep it Wild Savings | LED Bulb Upgrade | Limited Grade | Mud Guards | Owner's Portfolio | PDS - with Texas State Inspection | Premium Carpet Mat Set | Roof Rack Cross Bars | Stainless Steel Exhaust Tip | Third Row Seating - Leather | Toyota Value Protection Package | Vehicle Protection Premium Package:
2024,SR5 4x4,Midnight Black Metallic,42580,45754,63657.0,17903,60483,At dealer,False,DealerHold,2024-08-22,2024-08-23,JTEMU5JR3R6302629,"Stapp Interstate Toyota, Inc.",CO,50 State Emissions | All-Weather Floor Liners[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Premium Audio | STAPP I25 CUSTOM PACKAGE
2024,SR5 4x4,Underground,42580,44603,0.0,0,42580,At dealer,False,DealerHold,2024-09-17,2024-09-17,JTEMU5JR6R6305749,Titus-Will Toyota,WA,50 State Emissions | Blackout Emblem Overlays[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Preferred Owner's Portfolio | Wilderness Package[installed_msrp]
2024,TRD Off-Road Premium 4x4,Ice Cap,47130,56071,0.0,0,47130,At dealer,False,Available,2024-05-31T00:00:00.000Z,2024-06-05T00:00:00.000Z,JTERU5JR7R6280821,Bob Tyler Toyota,FL,2 in 1 LED Projector Fog Lights w/LED Accent Light | 50 State Emissions | 6-Gallons of Gas | All Weather Cargo Mat  | Keep It Wild Savings | LED Interior Light Upgrade | LED Under-car Puddle Illumination | Off Road Package | Off Road Premium Package w/ Softex | PDS - Company Cars | Paint Protection Film - Hood & Door Package | Power Tilt/Slide Moonroof | TOYOGUARD Platinum | Touch Keypad | XP Predator
2024,TRD Off-Road Premium 4x4,Ice Cap,46880,49929,0.0,995,47875,At dealer,True,DealerHold,2024-01-17,2024-01-18,JTERU5JR9R6235587,Toyota Town,CA,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Kinetic Dynamic Suspension System (KDSS) | Off Road Package | Off Road Premium Package w/ Softex | PREMIUM PROTECTION PACKAGE | Running Boards
